timestamp,mode,model,transport,total_ms,server_ms,preprocess_ms,inference_ms,postprocess_ms,network_ms
1781017014.748544,edge,seg,grpc,55.29908400000494,28.440000534057617,16.75,5.809999942779541,5.880000114440918,26.85908346594732
1781017014.871045,edge,seg,grpc,66.91533400000083,32.45000076293945,16.719999313354492,5.75,9.979999542236328,34.46533323706137
1781017014.97578,edge,seg,grpc,49.41291600000142,26.829999923706055,15.180000305175781,5.730000019073486,5.920000076293945,22.582916076295362
1781017015.093868,edge,seg,grpc,62.02291700000018,31.940000534057617,15.100000381469727,5.78000020980835,11.050000190734863,30.08291646594256
1781017015.2102752,edge,seg,grpc,62.2346250000021,30.290000915527344,17.200000762939453,5.710000038146973,7.380000114440918,31.944624084474754
1781017015.317013,edge,seg,grpc,50.37687499999777,27.399999618530273,15.15999984741211,5.690000057220459,6.559999942779541,22.976875381467494
1781017015.423245,edge,seg,grpc,50.851624999999956,25.40999984741211,14.229999542236328,5.929999828338623,5.260000228881836,25.441625152587847
1781017015.528697,edge,seg,grpc,50.19087500000552,24.8799991607666,15.239999771118164,5.949999809265137,3.690000057220459,25.310875839238918
1781017015.6302028,edge,seg,grpc,46.2015419999986,15.979999542236328,7.760000228881836,5.289999961853027,2.930000066757202,30.22154245776227
1781017015.749721,edge,seg,grpc,64.1748329999956,30.600000381469727,16.459999084472656,6.150000095367432,8.0,33.574832618525875
1781017015.865845,edge,seg,grpc,60.82066700000155,28.84000015258789,16.940000534057617,5.96999979019165,5.929999828338623,31.98066684741366
1781017015.993454,edge,seg,grpc,72.22912499999978,30.15999984741211,19.56999969482422,6.070000171661377,4.519999980926514,42.069125152587674
1781017016.110692,edge,seg,grpc,65.81366700000046,31.90999984741211,17.190000534057617,6.179999828338623,8.539999961853027,33.903667152588355
1781017016.508828,local,detect,local,43.52800000000201,0,0,43.52800000000201,0,0
1781017016.573525,local,detect,local,51.951375000001576,0,0,51.951375000001576,0,0
1781017016.634667,local,detect,local,48.440750000004584,0,0,48.440750000004584,0,0
1781017016.697048,local,detect,local,49.677332999998214,0,0,49.677332999998214,0,0
